transaction_id,customer_id,date,age,category,quantity,unit_price,discount,cost,marketing_spend,customer_satisfaction,region,delivery_time,inventory,returned,tenure_months,purchase_frequency,total_purchases,average_order_value,sales,profit,churn,segment
TX-10043,CUST-1032,2026-01-30,18,Electronics,1,1013.39,0.0,705.05,4571.37,4.9,South,1,193,0,10,4,18,1067.78,1013.39,235.27,0,Regular Customer
TX-10044,CUST-1497,2025-12-01,46,Home & Kitchen,2,90.11,5.0,39.73,6159.76,4.7,South,3,317,0,8,4,13,234.54,171.21,-14.15,0,Regular Customer
TX-10045,CUST-1584,2026-06-05,45,Grocery,4,57.05,5.0,45.51,1861.98,5.0,South,3,214,0,30,4,36,273.48,216.79,-6.68,0,Regular Customer
TX-10046,CUST-1416,2025-11-19,37,Electronics,2,1608.47,0.0,1232.17,4822.16,4.7,North,1,43,0,42,3,41,3296.03,3216.94,675.77,0,High Value Customer
TX-10047,CUST-1362,2026-03-18,63,Grocery,4,34.93,15.0,24.8,534.74,4.5,West,1,39,0,1,6,4,153.66,118.76,7.04,0,Regular Customer
TX-10048,CUST-1055,2026-07-24,22,Fitness,2,58.97,5.0,30.21,2150.73,4.3,North,3,351,1,2,3,9,162.17,112.04,-48.5,1,At-Risk Customer
TX-10049,CUST-1745,2026-02-03,28,Electronics,3,1712.42,0.0,1092.15,1930.16,4.2,South,3,438,0,13,6,25,5166.57,5137.26,1818.36,0,Regular Customer
TX-10050,CUST-1549,2026-03-31,39,Furniture,1,1143.42,10.0,657.08,3565.51,3.9,West,4,335,0,35,3,38,1055.32,1029.08,300.52,0,Regular Customer
TX-10051,CUST-1473,2025-12-19,30,Electronics,1,1522.85,0.0,979.0,5917.0,4.5,West,3,179,0,23,3,26,1587.0,1522.85,441.59,0,Regular Customer
TX-10052,CUST-1563,2025-10-03,39,Electronics,2,1622.69,5.0,1239.59,6688.3,4.8,North,3,34,0,18,6,38,3109.97,3083.11,490.11,0,High Value Customer
TX-10053,CUST-1771,2025-12-13,39,Furniture,1,644.62,10.0,345.79,6062.65,4.1,West,2,215,0,39,4,51,641.15,580.16,134.43,0,High Value Customer
TX-10054,CUST-1218,2026-03-07,37,Electronics,1,1839.36,5.0,1268.53,4230.99,5.0,South,2,356,0,23,6,40,1792.52,1747.39,406.4,0,High Value Customer
TX-10055,CUST-1399,2025-12-27,40,Grocery,6,8.52,0.0,6.22,5023.64,2.2,East,2,310,0,3,7,14,84.02,51.12,-70.55,1,At-Risk Customer
TX-10056,CUST-1748,2026-05-25,29,Fitness,1,317.97,15.0,181.04,1299.49,4.2,West,3,231,0,15,3,14,338.24,270.27,56.24,0,Regular Customer
TX-10057,CUST-1303,2025-12-03,24,Electronics,1,1400.95,20.0,931.6,1526.14,4.8,North,3,317,0,27,6,54,1155.74,1120.76,152.77,0,High Value Customer
TX-10058,CUST-1058,2025-09-08,19,Home & Kitchen,1,444.82,15.0,261.92,7439.36,4.1,West,3,264,0,4,3,11,456.36,378.1,-8.91,0,Regular Customer
TX-10059,CUST-1543,2025-11-02,35,Electronics,1,1930.98,15.0,1452.13,777.56,4.6,North,1,202,0,26,7,58,1680.46,1641.33,173.04,0,High Value Customer
TX-10060,CUST-1070,2026-06-14,45,Electronics,1,1450.93,20.0,931.4,659.52,4.3,South,3,430,0,32,2,19,1204.86,1160.74,205.95,0,Regular Customer
TX-10061,CUST-1583,2025-12-18,61,Home & Kitchen,2,396.94,5.0,236.9,3660.18,3.8,North,2,17,0,29,5,46,833.45,754.19,216.48,0,Loyal Customer
TX-10062,CUST-1429,2026-07-16,18,Home & Kitchen,3,315.45,15.0,139.95,1170.58,3.1,East,4,316,0,17,5,30,860.86,804.4,348.99,1,At-Risk Customer
TX-10063,CUST-1209,2026-07-22,18,Fitness,1,138.86,15.0,68.61,3125.94,4.2,East,5,76,0,13,5,22,172.84,118.03,-19.97,0,Regular Customer
TX-10064,CUST-1405,2025-10-20,29,Fitness,2,537.7,15.0,344.74,5414.31,3.8,East,2,138,0,21,4,29,993.58,914.09,134.4,0,Regular Customer
TX-10065,CUST-1769,2025-09-20,45,Electronics,2,1364.07,20.0,981.01,6004.32,4.1,West,5,106,0,20,9,60,2204.27,2182.51,107.93,0,High Value Customer
TX-10066,CUST-1576,2025-10-04,34,Electronics,1,903.48,15.0,663.0,6741.01,4.2,South,3,238,0,20,3,19,826.0,767.96,-9.66,0,Regular Customer
TX-10067,CUST-1135,2026-02-08,52,Electronics,2,458.61,25.0,337.99,3064.04,4.3,South,4,292,0,22,3,19,754.17,687.91,-52.03,0,Regular Customer
TX-10068,CUST-1161,2026-03-26,33,Home & Kitchen,3,54.33,30.0,22.54,5570.39,5.0,East,6,395,0,11,3,12,149.24,114.09,-64.08,0,Regular Customer
TX-10069,CUST-1669,2026-05-11,43,Electronics,2,449.28,15.0,338.65,2737.81,4.1,East,4,98,0,26,4,34,838.35,763.78,27.41,0,Regular Customer
TX-10070,CUST-1106,2025-10-21,32,Clothing,3,95.19,15.0,39.42,2002.69,5.0,North,4,288,0,28,10,85,317.44,242.73,76.43,0,Loyal Customer
TX-10071,CUST-1760,2026-05-24,54,Furniture,1,409.92,0.0,250.74,5386.4,5.0,East,4,86,0,1,2,2,470.75,409.92,60.38,0,Regular Customer
TX-10072,CUST-1215,2026-02-05,39,Furniture,2,907.98,25.0,573.3,7308.64,4.0,East,4,55,0,30,4,38,1402.73,1361.97,87.74,0,High Value Customer
TX-10073,CUST-1257,2025-09-09,36,Electronics,3,1970.94,5.0,1211.84,2915.71,3.5,West,4,120,0,26,2,17,5690.95,5617.18,1919.92,1,At-Risk Customer
TX-10074,CUST-1045,2025-08-15,54,Clothing,6,162.91,25.0,66.76,5189.78,5.0,South,4,397,0,35,4,43,755.54,733.1,236.69,0,High Value Customer
TX-10075,CUST-1268,2025-11-04,33,Fitness,2,445.9,5.0,253.56,5118.07,3.1,West,2,187,0,1,6,9,925.7,847.21,254.32,1,At-Risk Customer
TX-10076,CUST-1437,2026-05-28,23,Electronics,1,1576.45,5.0,966.36,3969.67,4.6,North,4,38,0,27,4,31,1548.47,1497.63,453.72,0,Regular Customer
TX-10077,CUST-1707,2025-10-29,31,Home & Kitchen,2,196.12,15.0,102.23,5412.57,4.2,North,1,32,0,1,5,3,364.26,333.4,43.26,0,Regular Customer
TX-10078,CUST-1596,2026-05-23,35,Furniture,1,409.59,10.0,276.13,3194.25,5.0,West,1,393,0,23,3,20,435.04,368.63,40.09,0,Regular Customer
TX-10079,CUST-1315,2026-02-16,18,Electronics,2,393.32,5.0,248.01,6716.63,3.9,East,1,185,0,14,5,25,814.22,747.31,146.04,0,Regular Customer
TX-10080,CUST-1255,2026-07-21,30,Electronics,2,1935.22,0.0,1355.55,7900.2,5.0,East,3,296,0,14,1,10,3901.24,3870.44,1027.34,0,Regular Customer
TX-10081,CUST-1416,2026-06-27,54,Fitness,2,262.53,0.0,143.34,2923.48,4.7,South,3,198,0,24,4,31,587.34,525.06,181.03,0,Regular Customer
TX-10082,CUST-1242,2025-11-05,42,Furniture,2,1168.41,5.0,606.15,7011.07,3.3,West,4,325,1,8,2,6,2277.05,2219.98,-53.0,1,At-Risk Customer
TX-10083,CUST-1754,2026-01-31,38,Grocery,6,7.28,10.0,6.32,2117.56,4.9,South,1,83,0,39,4,45,83.73,39.31,-34.87,0,Regular Customer
TX-10084,CUST-1718,2025-10-08,39,Grocery,10,47.53,5.0,39.59,2952.75,4.4,North,5,96,0,26,6,45,493.52,451.53,-11.16,0,High Value Customer
TX-10085,CUST-1227,2025-11-24,53,Grocery,4,34.14,5.0,26.66,2204.52,3.4,East,3,124,0,11,8,30,173.66,129.73,-23.48,1,At-Risk Customer
TX-10086,CUST-1233,2025-12-06,47,Electronics,3,1435.41,15.0,1058.87,7666.43,5.0,South,3,217,0,24,3,24,3695.7,3660.3,355.19,0,Regular Customer
TX-10087,CUST-1285,2025-09-18,25,Clothing,2,205.68,10.0,94.17,5871.13,3.2,East,2,359,0,1,4,9,437.83,370.22,84.82,1,At-Risk Customer
TX-10088,CUST-1409,2026-07-27,26,Home & Kitchen,2,372.61,0.0,176.88,519.38,4.0,East,3,234,0,47,3,48,811.42,745.22,370.17,0,High Value Customer
TX-10089,CUST-1118,2025-12-25,18,Furniture,3,467.16,10.0,301.97,6571.47,4.4,East,2,256,1,25,3,26,1287.07,1261.33,-44.0,1,At-Risk Customer
TX-10090,CUST-1610,2026-03-24,36,Clothing,1,161.6,5.0,74.23,4958.57,4.0,East,3,305,0,19,5,35,181.22,153.52,-8.59,0,Loyal Customer
TX-10091,CUST-1523,2025-10-12,39,Grocery,2,48.38,0.0,36.25,7206.43,3.7,South,2,393,0,7,5,15,133.03,96.76,-92.84,1,At-Risk Customer
TX-10092,CUST-1725,2026-03-25,54,Electronics,1,700.12,0.0,477.65,3338.57,4.8,South,1,164,0,12,4,22,769.43,700.12,167.89,0,Regular Customer
TX-10093,CUST-1071,2026-07-20,35,Clothing,8,111.07,0.0,41.54,6028.85,4.4,East,2,300,0,29,4,39,918.12,888.56,456.81,0,High Value Customer
TX-10094,CUST-1127,2026-01-14,28,Home & Kitchen,1,189.98,10.0,89.15,6689.65,3.2,East,3,325,0,18,5,26,197.96,170.98,-32.01,1,At-Risk Customer
TX-10095,CUST-1334,2026-03-08,31,Fitness,2,531.67,15.0,331.56,2785.09,5.0,East,3,80,0,10,5,20,942.66,903.84,185.44,0,Regular Customer
TX-10096,CUST-1196,2026-03-17,24,Fitness,1,543.03,25.0,334.43,6689.01,4.3,West,2,419,0,24,1,10,432.07,407.27,-36.49,0,Regular Customer
TX-10097,CUST-1178,2026-06-25,31,Home & Kitchen,3,279.6,5.0,164.21,6885.86,4.3,East,1,301,0,35,3,32,820.33,796.86,196.44,0,Regular Customer
TX-10098,CUST-1000,2026-01-16,29,Clothing,1,52.31,10.0,21.48,967.19,3.8,South,3,287,0,20,2,15,98.7,47.08,-2.41,1,At-Risk Customer
TX-10099,CUST-1593,2026-06-20,24,Fitness,1,536.5,5.0,289.69,3605.97,3.9,East,4,100,0,29,3,30,545.26,509.67,147.9,0,Regular Customer
TX-10100,CUST-1452,2026-07-25,29,Furniture,1,712.08,0.0,386.69,7819.05,4.4,West,2,202,0,19,3,20,783.96,712.08,199.1,0,Regular Customer
TX-10101,CUST-1753,2025-11-08,44,Fitness,2,493.98,5.0,282.96,7671.67,3.1,North,4,144,0,21,3,26,986.25,938.56,239.57,1,At-Risk Customer
TX-10102,CUST-1679,2026-07-04,51,Home & Kitchen,2,405.95,0.0,214.07,4388.06,5.0,East,4,101,0,11,2,7,836.23,811.9,299.94,0,Regular Customer
TX-10103,CUST-1769,2025-12-12,21,Fitness,2,235.83,0.0,142.66,1805.82,3.3,East,3,366,0,11,2,7,509.39,471.66,145.75,1,At-Risk Customer
TX-10104,CUST-1203,2025-10-28,42,Electronics,1,994.78,10.0,633.7,6309.75,5.0,North,4,204,0,45,4,56,970.52,895.3,148.96,0,High Value Customer
TX-10105,CUST-1486,2026-06-22,61,Electronics,1,555.44,10.0,337.64,1212.59,4.4,West,4,128,0,1,3,1,558.64,499.9,126.07,0,Regular Customer
TX-10106,CUST-1644,2026-06-04,45,Furniture,3,1054.44,5.0,705.74,6162.81,3.6,West,5,374,0,18,2,16,3070.35,3005.15,772.99,1,At-Risk Customer
TX-10107,CUST-1249,2025-10-28,39,Fitness,2,447.65,0.0,211.11,7738.47,2.7,North,1,58,0,19,6,39,949.93,895.3,352.5,1,At-Risk Customer
TX-10108,CUST-1788,2025-10-07,34,Grocery,10,17.06,15.0,13.66,7110.88,4.9,South,2,334,0,12,5,26,187.53,145.01,-107.25,0,Regular Customer
TX-10109,CUST-1712,2026-05-06,54,Grocery,10,68.6,0.0,58.39,6121.59,5.0,North,4,414,0,33,4,41,749.32,686.0,-7.72,0,High Value Customer
TX-10110,CUST-1124,2026-04-04,38,Furniture,2,561.1,0.0,326.85,5146.92,4.8,West,5,34,0,13,4,21,1184.38,1122.2,368.8,0,Regular Customer
TX-10111,CUST-1572,2026-06-14,35,Clothing,1,159.86,5.0,75.2,5273.68,3.6,West,4,90,0,10,5,21,216.0,151.87,-20.44,1,At-Risk Customer
TX-10112,CUST-1736,2026-04-29,28,Grocery,10,9.69,15.0,8.18,2745.83,3.1,West,4,162,0,7,4,17,159.38,82.36,-58.62,1,At-Risk Customer
TX-10113,CUST-1761,2026-04-14,39,Grocery,6,78.47,10.0,57.26,4898.59,3.0,East,4,65,0,22,5,32,469.85,423.74,-11.3,1,At-Risk Customer
TX-10114,CUST-1652,2026-01-02,37,Home & Kitchen,3,295.09,20.0,120.98,6351.6,4.4,West,2,71,0,15,4,23,743.92,708.22,241.0,0,Regular Customer
TX-10115,CUST-1281,2026-03-27,39,Electronics,3,736.62,5.0,478.03,6325.33,3.9,East,3,198,0,11,3,11,2144.03,2099.37,556.9,0,Regular Customer
TX-10116,CUST-1343,2026-01-24,44,Home & Kitchen,5,39.17,10.0,20.87,7526.17,3.9,North,3,398,0,12,5,18,224.1,176.27,-54.48,0,Regular Customer
TX-10117,CUST-1236,2026-02-26,36,Fitness,1,235.72,0.0,111.45,2382.25,4.4,South,3,95,0,33,6,62,306.54,235.72,75.04,0,Loyal Customer
TX-10118,CUST-1065,2026-03-14,23,Grocery,2,54.81,20.0,40.5,3951.22,3.9,East,2,438,0,32,5,50,117.58,87.7,-61.57,0,Loyal Customer
TX-10119,CUST-1425,2025-09-14,48,Furniture,3,695.36,20.0,376.17,7029.34,3.5,West,3,72,0,1,4,2,1712.31,1668.86,421.41,1,At-Risk Customer
TX-10120,CUST-1788,2026-06-09,30,Fitness,1,292.95,5.0,155.11,1967.07,5.0,North,5,99,0,11,5,21,345.9,278.3,71.19,0,Regular Customer
TX-10121,CUST-1783,2026-06-04,45,Grocery,15,72.96,0.0,54.71,2015.12,3.8,West,2,274,1,25,7,55,1154.48,1094.4,-44.0,1,At-Risk Customer
TX-10122,CUST-1360,2026-01-13,24,Grocery,2,71.14,0.0,55.27,4698.17,4.4,West,6,432,0,22,4,31,194.73,142.28,-65.73,0,Regular Customer
TX-10123,CUST-1752,2026-05-20,24,Home & Kitchen,2,227.89,5.0,128.6,4206.59,5.0,South,2,291,0,31,1,9,467.38,432.99,103.69,0,Regular Customer
TX-10124,CUST-1279,2026-03-25,31,Grocery,6,38.78,10.0,32.37,3142.81,3.4,North,3,285,0,34,1,11,248.92,209.41,-45.45,1,At-Risk Customer
TX-10125,CUST-1684,2026-07-27,30,Grocery,4,18.12,15.0,15.48,2594.57,4.3,South,5,423,0,32,2,27,99.84,61.61,-61.73,0,Regular Customer
TX-10126,CUST-1130,2026-06-28,41,Home & Kitchen,2,395.91,10.0,219.02,2452.15,4.2,North,3,421,0,27,3,28,765.44,712.64,224.32,0,Regular Customer
TX-10127,CUST-1606,2026-05-29,38,Fitness,1,102.0,15.0,54.52,7385.57,4.0,North,4,97,0,14,11,49,139.14,86.7,-96.6,0,Regular Customer
TX-10128,CUST-1438,2025-10-22,33,Grocery,4,5.93,10.0,4.65,2729.28,3.8,South,5,210,1,9,4,18,52.47,21.35,-57.5,1,At-Risk Customer
TX-10129,CUST-1388,2026-01-28,34,Furniture,2,984.31,30.0,498.98,6917.72,4.0,West,2,290,0,20,4,25,1447.79,1378.03,267.31,0,Regular Customer
TX-10130,CUST-1779,2026-02-24,38,Clothing,2,141.43,5.0,61.68,6304.1,4.9,West,4,107,0,22,6,41,311.79,268.72,32.8,0,Loyal Customer
TX-10131,CUST-1083,2026-04-11,59,Electronics,2,2103.54,10.0,1489.55,5255.78,4.0,North,3,415,0,17,3,15,3833.4,3786.37,714.94,0,Regular Customer
TX-10132,CUST-1358,2025-12-06,61,Fitness,1,303.06,10.0,163.5,4527.56,3.7,North,3,367,0,23,6,44,309.83,272.75,27.84,1,At-Risk Customer
TX-10133,CUST-1667,2025-09-03,37,Electronics,1,1965.73,10.0,1382.81,836.4,5.0,South,4,59,0,18,6,37,1846.4,1769.16,355.8,0,High Value Customer
TX-10134,CUST-1020,2026-06-28,43,Furniture,3,152.21,0.0,97.95,7036.98,4.4,South,4,175,0,5,3,8,530.65,456.63,39.23,0,Regular Customer
TX-10135,CUST-1685,2025-10-11,18,Home & Kitchen,2,344.94,10.0,166.45,7160.29,3.4,South,3,65,0,50,6,93,690.09,620.89,167.09,1,At-Risk Customer
TX-10136,CUST-1262,2026-02-18,39,Furniture,1,621.3,20.0,321.14,6560.17,5.0,North,3,422,0,2,6,5,540.09,497.04,64.0,0,Regular Customer
TX-10137,CUST-1167,2026-01-20,60,Electronics,3,1730.73,0.0,1069.24,3275.39,3.0,North,3,422,0,15,3,20,5257.9,5192.19,1921.84,1,At-Risk Customer
TX-10138,CUST-1589,2026-07-26,34,Grocery,2,43.79,5.0,33.64,6437.9,4.4,West,2,78,0,22,5,33,132.34,83.2,-89.65,0,Loyal Customer
TX-10139,CUST-1203,2025-09-21,36,Home & Kitchen,1,434.89,0.0,207.37,3409.9,3.7,South,3,44,0,39,4,50,491.07,434.89,162.87,0,Regular Customer
TX-10140,CUST-1791,2026-01-15,19,Fitness,1,230.62,10.0,128.75,4562.79,2.9,North,4,449,0,26,5,42,285.54,207.56,-7.63,1,At-Risk Customer
TX-10141,CUST-1579,2025-09-04,18,Clothing,2,155.61,10.0,58.8,4166.73,4.7,West,3,263,0,30,7,65,336.05,280.1,86.5,0,Loyal Customer
TX-10142,CUST-1070,2026-04-30,29,Fitness,1,61.27,0.0,36.71,5605.67,2.4,East,2,84,1,19,6,38,112.62,61.27,-44.0,1,At-Risk Customer
TX-10143,CUST-1430,2026-04-21,18,Electronics,1,1431.22,15.0,1095.42,7208.39,5.0,West,1,189,0,1,4,5,1236.73,1216.54,8.49,0,Regular Customer
TX-10144,CUST-1650,2026-04-06,20,Fitness,1,174.61,0.0,89.47,7786.5,4.9,South,4,128,0,9,5,14,214.61,174.61,-49.66,0,Regular Customer
TX-10145,CUST-1751,2026-05-08,38,Fitness,1,484.3,30.0,313.88,1173.59,5.0,East,5,413,0,2,7,13,402.4,339.01,-14.97,0,Regular Customer
TX-10146,CUST-1551,2026-04-18,46,Grocery,6,6.84,10.0,5.16,4827.8,3.2,West,2,176,0,24,3,28,74.65,36.94,-75.44,1,At-Risk Customer
TX-10147,CUST-1606,2025-12-29,27,Clothing,2,205.78,20.0,110.27,2911.22,3.3,South,1,247,0,18,1,8,370.72,329.25,60.54,1,At-Risk Customer
TX-10148,CUST-1088,2026-01-03,26,Grocery,4,71.65,10.0,56.64,5185.88,4.4,South,3,28,0,14,3,16,286.51,257.94,-59.91,0,Regular Customer
TX-10149,CUST-1583,2026-06-22,27,Fitness,1,318.15,10.0,161.26,907.49,4.8,West,2,255,0,33,2,24,360.08,286.33,102.46,0,Regular Customer
TX-10150,CUST-1506,2026-01-27,25,Furniture,1,507.39,25.0,349.13,6700.36,5.0,West,3,176,0,7,7,21,430.17,380.54,-82.59,0,Regular Customer
TX-10151,CUST-1264,2026-02-04,53,Clothing,1,183.37,15.0,64.34,5497.89,3.0,East,3,108,0,22,4,31,233.27,155.86,-4.44,1,At-Risk Customer
TX-10152,CUST-1529,2025-11-19,18,Electronics,1,1142.51,5.0,728.46,892.66,4.1,South,2,411,0,37,8,93,1113.58,1085.38,334.53,0,High Value Customer
TX-10153,CUST-1500,2026-05-25,50,Furniture,1,481.41,15.0,302.79,1994.11,4.7,West,3,241,0,27,6,52,449.44,409.2,63.0,0,High Value Customer
TX-10154,CUST-1502,2026-03-31,33,Electronics,2,1038.37,0.0,722.26,3980.71,2.0,North,3,244,0,26,4,35,2097.76,2076.74,559.01,1,At-Risk Customer
TX-10155,CUST-1414,2026-08-03,43,Furniture,1,276.22,5.0,152.78,6298.56,4.6,East,1,140,0,23,9,65,291.55,262.41,10.65,0,Loyal Customer
TX-10156,CUST-1377,2026-04-13,39,Home & Kitchen,2,423.7,0.0,220.6,5537.32,4.6,East,3,133,0,20,5,35,875.85,847.4,309.64,0,Loyal Customer
TX-10157,CUST-1763,2026-05-22,50,Clothing,4,155.12,10.0,58.85,3411.24,4.5,East,1,63,0,30,4,36,619.84,558.43,267.36,0,High Value Customer
